strategy_id,split_name,is_fraction,oos_start_date,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_expectancy_per_trade,oos_total_trades
paper_vwap_baseline,is_60_oos_40,0.6,2023-06-20,-12137.5,0.7947944140123081,-1.6657904213206098,-12853.5,-3.331732088937689,3643
paper_vwap_baseline,is_65_oos_35,0.65,2023-10-20,-7326.5,0.7803115488987841,-1.4304554904650422,-7557.0,-3.43000936329588,2136
paper_vwap_baseline,is_70_oos_30,0.7,2024-02-23,-2376.5,0.7662880464178591,-0.7066732810483942,-2518.5,-3.8768352365415986,613
paper_vwap_baseline,is_75_oos_25,0.75,2024-07-01,0.0,0.0,0.0,0.0,0.0,0
baseline_futures_adapted,is_60_oos_40,0.6,2023-06-20,-29804.0,0.8809302176926734,-1.7054613694729457,-30520.0,-2.5574051827698643,11654
baseline_futures_adapted,is_65_oos_35,0.65,2023-10-20,-24993.0,0.888676820699439,-1.588835368812866,-25223.5,-2.4630925396668966,10147
baseline_futures_adapted,is_70_oos_30,0.7,2024-02-23,-20043.0,0.9004457910618271,-1.4121554200812398,-20185.0,-2.324095547309833,8624
baseline_futures_adapted,is_75_oos_25,0.75,2024-07-01,-16787.5,0.9043880407450756,-1.3785596992214553,-18405.5,-2.3805303460011342,7052
vwap_time_filtered_baseline,is_60_oos_40,0.6,2023-06-20,-19417.5,0.9013616586785739,-1.138610837788408,-21404.5,-2.730628603571931,7111
vwap_time_filtered_baseline,is_65_oos_35,0.65,2023-10-20,-17029.0,0.9039743315025545,-1.106016632580757,-18879.5,-2.755947564330798,6179
vwap_time_filtered_baseline,is_70_oos_30,0.7,2024-02-23,-11177.5,0.9294532349581233,-0.8070547811247251,-14050.5,-2.118957345971564,5275
vwap_time_filtered_baseline,is_75_oos_25,0.75,2024-07-01,-10044.0,0.9273973196859956,-0.8512385258914111,-13692.0,-2.308965517241379,4350
vwap_baseline_trade_capped,is_60_oos_40,0.6,2023-06-20,-5647.0,0.9409852855112448,-0.5634678609213416,-7026.0,-1.4128096072054042,3997
vwap_baseline_trade_capped,is_65_oos_35,0.65,2023-10-20,-4143.5,0.9519427047088842,-0.4631368841181135,-5659.0,-1.1835189945729792,3501
vwap_baseline_trade_capped,is_70_oos_30,0.7,2024-02-23,-1821.5,0.9765902621145233,-0.2256546076575389,-5659.0,-0.6075717144763175,2998
vwap_baseline_trade_capped,is_75_oos_25,0.75,2024-07-01,-1119.5,0.9836626583386843,-0.15925777174222994,-5659.0,-0.449959807073955,2488
vwap_baseline_regime_filtered,is_60_oos_40,0.6,2023-06-20,-15032.0,0.8408689116373607,-2.786381648618074,-16656.0,-2.8648751667619594,5247
vwap_baseline_regime_filtered,is_65_oos_35,0.65,2023-10-20,-12309.5,0.8553933085851229,-2.5038235833047353,-13857.5,-2.6765601217656014,4599
vwap_baseline_regime_filtered,is_70_oos_30,0.7,2024-02-23,-9733.0,0.8731848415950593,-2.177874690608673,-11312.0,-2.4728150406504064,3936
vwap_baseline_regime_filtered,is_75_oos_25,0.75,2024-07-01,-6688.5,0.9003181889311982,-1.7052708413428959,-8181.0,-2.0460385438972164,3269
vwap_baseline_with_killswitch,is_60_oos_40,0.6,2023-06-20,-1951.0,0.9681419975343114,-0.24860925866809325,-5656.5,-0.7527006172839507,2592
vwap_baseline_with_killswitch,is_65_oos_35,0.65,2023-10-20,-1540.5,0.972067342997797,-0.22325647987983765,-4055.0,-0.67417943107221,2285
vwap_baseline_with_killswitch,is_70_oos_30,0.7,2024-02-23,-1060.5,0.9788234589348829,-0.1712196625446486,-3451.0,-0.5380517503805176,1971
vwap_baseline_with_killswitch,is_75_oos_25,0.75,2024-07-01,1277.0,1.0290187701677045,0.23014487900956052,-3204.5,0.7739393939393939,1650
vwap_reclaim,is_60_oos_40,0.6,2023-06-20,-117.94642857142753,0.9122387425094013,-0.08404213704485544,-750.4464285714275,-4.536401098901059,26
vwap_reclaim,is_65_oos_35,0.65,2023-10-20,-117.94642857142753,0.9122387425094013,-0.08981747240672877,-750.4464285714275,-4.536401098901059,26
vwap_reclaim,is_70_oos_30,0.7,2024-02-23,151.05357142857247,1.140521952921243,0.12531480444303125,-750.4464285714275,7.950187969924866,19
vwap_reclaim,is_75_oos_25,0.75,2024-07-01,-69.94642857142753,0.9295212048149424,-0.06844714386821713,-750.4464285714275,-4.663095238095169,15
vwap_reclaim_with_prop_overlay,is_60_oos_40,0.6,2023-06-20,0.0,0.0,0.0,0.0,0.0,0
vwap_reclaim_with_prop_overlay,is_65_oos_35,0.65,2023-10-20,0.0,0.0,0.0,0.0,0.0,0
vwap_reclaim_with_prop_overlay,is_70_oos_30,0.7,2024-02-23,0.0,0.0,0.0,0.0,0.0,0
vwap_reclaim_with_prop_overlay,is_75_oos_25,0.75,2024-07-01,0.0,0.0,0.0,0.0,0.0,0
