zone,split,score_level,n_candidate_days
narrow_q20_25__q90_95,total,0.0,310
narrow_q20_25__q90_95,total,0.5,144
narrow_q20_25__q90_95,total,1.0,886
narrow_q20_25__q90_95,is,0.0,237
narrow_q20_25__q90_95,is,0.5,94
narrow_q20_25__q90_95,is,1.0,619
narrow_q20_25__q90_95,oos,0.0,73
narrow_q20_25__q90_95,oos,0.5,50
narrow_q20_25__q90_95,oos,1.0,267
expanded_q20_25_30__q90_95,total,0.0,310
expanded_q20_25_30__q90_95,total,0.3333,57
expanded_q20_25_30__q90_95,total,0.5,87
expanded_q20_25_30__q90_95,total,0.6667,56
expanded_q20_25_30__q90_95,total,1.0,830
expanded_q20_25_30__q90_95,is,0.0,237
expanded_q20_25_30__q90_95,is,0.3333,47
expanded_q20_25_30__q90_95,is,0.5,47
expanded_q20_25_30__q90_95,is,0.6667,47
expanded_q20_25_30__q90_95,is,1.0,572
expanded_q20_25_30__q90_95,oos,0.0,73
expanded_q20_25_30__q90_95,oos,0.3333,10
expanded_q20_25_30__q90_95,oos,0.5,40
expanded_q20_25_30__q90_95,oos,0.6667,9
expanded_q20_25_30__q90_95,oos,1.0,258
