phase,vvix_bucket_label,vvix_selected,sizing_bucket_label,session_count,avg_sizing_multiplier,avg_combined_multiplier,baseline_nominal_net_pnl_usd,baseline_3state_net_pnl_usd,baseline_vvix_nominal_net_pnl_usd,baseline_vvix_3state_net_pnl_usd,baseline_nominal_n_trades,baseline_3state_n_trades,baseline_vvix_nominal_n_trades,baseline_vvix_3state_n_trades
is,high,True,high,77,0.75,0.75,-1012.5,-4076.5,-1012.5,-4076.5,77,77.0,77.0,77.0
is,high,True,low,85,0.5,0.5,207.0,168.5,207.0,168.5,85,82.0,85.0,82.0
is,high,True,mid,97,1.0,1.0,2003.0,4335.0,2003.0,4335.0,97,97.0,97.0,97.0
is,low,False,high,103,0.75,0.0,-137.5,-2190.5,0.0,0.0,103,103.0,0.0,0.0
is,low,False,low,85,0.5,0.0,-997.0,-1502.5,0.0,0.0,85,80.0,0.0,0.0
is,low,False,mid,76,1.0,0.0,1221.0,499.5,0.0,0.0,76,76.0,0.0,0.0
is,mid,True,high,83,0.75,0.75,1651.5,391.0,1651.5,391.0,83,83.0,83.0,83.0
is,mid,True,low,94,0.5,0.5,-1109.0,-1879.5,-1109.0,-1879.5,94,89.0,94.0,89.0
is,mid,True,mid,87,1.0,1.0,4114.0,16058.5,4114.0,16058.5,87,87.0,87.0,87.0
oos,high,True,high,37,0.75,0.75,1832.0,4929.0,1832.0,4929.0,37,37.0,37.0,37.0
oos,high,True,low,49,0.5,0.5,1902.0,1600.0,1902.0,1600.0,49,42.0,49.0,42.0
oos,high,True,mid,32,1.0,1.0,3941.5,12107.0,3941.5,12107.0,32,32.0,32.0,32.0
oos,low,False,high,23,0.75,0.0,-635.0,211.5,0.0,0.0,23,23.0,0.0,0.0
oos,low,False,low,41,0.5,0.0,-983.0,353.0,0.0,0.0,41,39.0,0.0,0.0
oos,low,False,mid,38,1.0,0.0,1752.5,6917.5,0.0,0.0,38,38.0,0.0,0.0
oos,mid,True,high,38,0.75,0.75,-2269.0,-4674.0,-2269.0,-4674.0,38,38.0,38.0,38.0
oos,mid,True,low,49,0.5,0.5,3228.0,2894.5,3228.0,2894.5,49,46.0,49.0,46.0
oos,mid,True,mid,26,1.0,1.0,1017.5,3860.0,1017.5,3860.0,26,26.0,26.0,26.0
